Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
4WyXnioHqTIcaFFN_TS1Vw,Ling Long Xuan Restaurant,586 Newark Ave,"{'latitude': 40.73237, 'longitude': -74.0569}",151,4.0,07306,chinese
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,"{'latitude': 40.7440494396358, 'longitude': -73.995028194335}",633,4.0,10011,chinese
i9OqZT0dLMPC1TbMtyaIWQ,The Noodle,370 Malcolm X Blvd,"{'latitude': 40.81002, 'longitude': -73.94352}",8,4.5,10027,chinese
kueEZRLEaNVo6Cow3hf56Q,Nice Day Chinese,170 Bleecker St,"{'latitude': 40.72867, 'longitude': -74.0007}",5,4.5,10012,chinese
XaEFFUabnbH8ZF7ccmSAlQ,South Of The Clouds,16 W 8th St,"{'latitude': 40.73264, 'longitude': -73.99752}",214,4.0,10011,chinese
IgTNgGE0qvTjkmCUzrNwtQ,Michael & Ping's Modern Chinese Take-Out,437 3rd Ave,"{'latitude': 40.672501, 'longitude': -73.990177}",261,3.5,11215,chinese
PGeL1b4xNJggpZsHEGoxjg,Mr Chow,121 Hudson St,"{'latitude': 40.7201045, 'longitude': -74.0087721}",389,3.0,10013,chinese
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,229 9th Ave,"{'latitude': 40.747413, 'longitude': -74.001052}",456,3.5,10001,chinese
MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,177 Prince St,"{'latitude': 40.72645, 'longitude': -74.0018}",358,3.5,10012,chinese
i68ePkcGmSimy2_OTDo5qQ,Happy Garden 813,513 6th Ave,"{'latitude': 40.73699, 'longitude': -73.99744}",1,5.0,10011,chinese
S5VN-lFmTdI5VVQ0qFyfCQ,Fortune Place,286 Broadway,"{'latitude': 40.70849, 'longitude': -73.9585}",16,3.5,11211,chinese
kHlYnhMOoMBbe3VCZflpKQ,Spy C Cuisine,72-06 Austin,"{'latitude': 40.71903, 'longitude': -73.84249}",225,4.0,11375,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,"{'latitude': 40.76701, 'longitude': -73.95846}",165,4.5,10021,chinese
VbFYau70iG_s6UNFwYtGVQ,Xu's Public House,15 Union Square W,"{'latitude': 40.73589, 'longitude': -73.9917}",106,4.0,10003,chinese
56wxE888GknVcUeAXBfqFw,Shanghai Lee,157 Franklin St,"{'latitude': 40.7318, 'longitude': -73.9582099}",124,3.0,11222,chinese
y-c0jyeEoCotVLPrT8iI7A,Chen Yuan Chinese Food,714 Knickerbocker Ave,"{'latitude': 40.6942395539858, 'longitude': -73.9105729000734}",14,4.0,11221,chinese
KBZQN540Xz6LbXLRVOMc0w,Hunan Delight,1467 York Ave,"{'latitude': 40.770678, 'longitude': -73.951296}",187,3.5,10075,chinese
I_Va7AZSHpEwX75S-3hHLQ,Noodle Fun,1744 1st Ave,"{'latitude': 40.7795333862305, 'longitude': -73.9470367431641}",150,4.0,10128,chinese
vWEKZVPIYFewfqCOkkvVIQ,Lin's Garden,652 Seneca Ave,"{'latitude': 40.7034531, 'longitude': -73.9090729}",49,4.0,11385,chinese
WVsPyl-DGRu0O_rQYdIMVQ,The Best Sichuan,47 W 39th St,"{'latitude': 40.75266, 'longitude': -73.98459}",46,4.0,10018,chinese
Bwj7nzWphGV6FaZ_ygTSOg,Happy Hot Hunan,969 Amsterdam Ave,"{'latitude': 40.80133, 'longitude': -73.96466}",162,3.5,10025,chinese
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,228 Thompson St,"{'latitude': 40.72929, 'longitude': -73.99882}",201,4.0,10012,chinese
